run_id,compute_proc_type,primary_memory_size,index_type,num_docs_indexed,num_tokens_indexed,search_set_base_size,search_time
27.7,M2,16,avl,3423173,12577,1880,13810873
27.8,M2,16,avl,4520233,16545,3968,29042005
28.1,M2,16,bst,468704,2692,2692,34109354
28.2,M2,16,bst,675137,3832,1140,11297941
28.3,M2,16,bst,950424,4880,1048,9985208
28.4,M2,16,bst,1342745,6268,1388,13105869
28.5,M2,16,bst,2486322,9936,3668,34162044
28.6,M2,16,bst,2722572,10696,760,7102251
28.7,M2,16,bst,3423173,12577,1880,17757892
28.8,M2,16,bst,4520233,16545,3968,36958932
29.1,M2,16,list,468704,4038,2692,37623380184
29.2,M2,16,list,206433,1710,1140,15902560710
29.3,M2,16,list,275287,1572,1048,14673779964
29.4,M2,16,list,392321,2082,1388,19384258031
29.5,M2,16,list,1143577,5502,3668,51000512838
29.6,M2,16,list,236250,1140,760,10559577941
29.7,M2,16,list,700601,2819,1880,26309803009
29.8,M2,16,list,1097060,5952,3968,55247325897
30.1,M2,16,hash,258977,4038,2692,2330064
30.2,M2,16,hash,123068,1710,1140,862121
30.3,M2,16,hash,130256,1572,1048,758647
30.4,M2,16,hash,156722,2082,1388,1013040
30.5,M2,16,hash,540565,5502,3668,2511262
30.6,M2,16,hash,126097,1140,760,511884
30.7,M2,16,hash,297836,2819,1880,1232862
30.8,M2,16,hash,520318,5952,3968,2494096
31.1,M2,16,avl,468704,4038,2692,20862817
31.2,M2,16,avl,206433,1710,1140,8504152
31.3,M2,16,avl,275287,1572,1048,7647037
31.4,M2,16,avl,392321,2082,1388,10098218
31.5,M2,16,avl,1143577,5502,3668,26304960
31.6,M2,16,avl,236250,1140,760,5465030
31.7,M2,16,avl,700601,2819,1880,13396978
31.8,M2,16,avl,1097060,5952,3968,28368949
32.1,M2,16,bst,468704,4038,2692,26291847
32.2,M2,16,bst,206433,1710,1140,10793924
32.3,M2,16,bst,275287,1572,1048,9833097
32.4,M2,16,bst,392321,2082,1388,12940168
32.5,M2,16,bst,1143577,5502,3668,34024238
32.6,M2,16,bst,236250,1140,760,7120132
32.7,M2,16,bst,700601,2819,1880,17559766
32.8,M2,16,bst,1097060,5952,3968,36947965
33.1,M2,16,list,311054,1665,2692,18780783891
33.2,M2,16,list,63679,707,1140,8000770092
33.3,M2,16,list,50226,637,1048,7292536973
33.4,M2,16,list,529527,865,1388,9771723031
33.5,M2,16,list,892501,2286,3668,25653917789
33.6,M2,16,list,141749,469,760,5375691175
33.7,M2,16,list,375413,1178,1880,13349049091
33.8,M2,16,list,998922,2486,3968,27928260087
34.1,M2,16,hash,171145,1665,2692,7810115
34.2,M2,16,hash,40113,707,1140,2357959
34.3,M2,16,hash,37259,637,1048,2051830
34.4,M2,16,hash,113932,865,1388,2679109
34.5,M2,16,hash,435414,2286,3668,18628120
34.6,M2,16,hash,88719,469,760,1024007
34.7,M2,16,hash,233702,1178,1880,2521038
34.8,M2,16,hash,366649,2486,3968,4321813
